Ngày,Diện tích,Dài,Rộng,Giá/m2
04-08-2020,38 m²,9.5 m,4 m,"131,58 triệu/m²"
04-08-2020,49 m²,20 m,53 m,"80,61 triệu/m²"
04-08-2020,55 m²,9.2 m,6 m,60 triệu/m²
04-08-2020,30 m²,4 m,7.55 m,"118,33 triệu/m²"
04-08-2020,37 m²,10 m,3.7 m,"53,51 triệu/m²"
04-08-2020,45 m²,10 m,4.5 m,"71,11 triệu/m²"
04-08-2020,11 m²,3 m,4 m,"131,82 triệu/m²"
04-08-2020,21 m²,7 m,3 m,100 triệu/m²
04-08-2020,75 m²,20 m,6 m,"393,33 triệu/m²"
04-08-2020,55 m²,11 m,5 m,"118,18 triệu/m²"
04-08-2020,35 m²,9 m,4 m,"71,43 triệu/m²"
04-08-2020,30 m²,9 m,3.5 m,"71,67 triệu/m²"
04-08-2020,30 m²,9 m,3.2 m,60 triệu/m²
04-08-2020,120 m²,50 m,6 m,"246,67 triệu/m²"
04-08-2020,25 m²,7 m,3.6 m,96 triệu/m²
04-08-2020,40 m²,10 m,4 m,50 triệu/m²
04-08-2020,33 m²,9.5 m,3.5 m,"65,15 triệu/m²"
04-08-2020,30 m²,7 m,4 m,"28,33 triệu/m²"
04-08-2020,36 m²,10 m,3 m,"138,89 triệu/m²"
04-08-2020,81 m²,22.5 m,3.6 m,"39,51 triệu/m²"
04-08-2020,27 m²,8.7 m,3.1 m,"166,67 triệu/m²"
04-08-2020,45 m²,9 m,4 m,"64,44 triệu/m²"
04-08-2020,30 m²,7 m,4.55 m,95 triệu/m²
04-08-2020,33 m²,10 m,3.3 m,"130,3 triệu/m²"
04-08-2020,36 m²,12 m,3 m,"55,22 triệu/m²"
04-08-2020,62 m²,17 m,3.6 m,"282,26 triệu/m²"
04-08-2020,35 m²,8.75 m,4 m,"68,57 triệu/m²"
04-08-2020,55 m²,15 m,4 m,"54,55 triệu/m²"
04-08-2020,60 m²,15 m,4 m,"83,33 triệu/m²"
04-08-2020,36 m²,9 m,4 m,"76,39 triệu/m²"
04-08-2020,45 m²,13 m,3.4 m,"122,22 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,"82,86 triệu/m²"
04-08-2020,60 m²,8 m,8 m,"483,33 triệu/m²"
04-08-2020,30 m²,8.04 m,3.73 m,"51,67 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"85,94 triệu/m²"
04-08-2020,58 m²,16.57 m,3.5 m,"71,55 triệu/m²"
04-08-2020,42 m²,4 m,9 m,"154,76 triệu/m²"
04-08-2020,32.1 m²,9.72 m,3.3 m,50 triệu/m²
04-08-2020,60 m²,15 m,4 m,"41,67 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"56,25 triệu/m²"
04-08-2020,37 m²,11 m,3.7 m,"116,22 triệu/m²"
04-08-2020,23 m²,8 m,3 m,"82,61 triệu/m²"
04-08-2020,40 m²,4 m,4 m,140 triệu/m²
04-08-2020,92 m²,18 m,5.6 m,"146,74 triệu/m²"
04-08-2020,47 m²,11.7 m,4 m,"102,13 triệu/m²"
04-08-2020,43 m²,11 m,4 m,"90,7 triệu/m²"
04-08-2020,56 m²,15 m,4 m,"81,25 triệu/m²"
04-08-2020,30 m²,7.5 m,4 m,75 triệu/m²
04-08-2020,44 m²,12 m,4 m,"154,55 triệu/m²"
04-08-2020,30 m²,10 m,3.2 m,95 triệu/m²
04-08-2020,37 m²,9 m,4 m,"67,57 triệu/m²"
04-08-2020,56 m²,9 m,6 m,"130,36 triệu/m²"
04-08-2020,30 m²,7 m,4.5 m,"71,67 triệu/m²"
04-08-2020,46 m²,8 m,6 m,100 triệu/m²
04-08-2020,32 m²,8 m,4 m,"43,75 triệu/m²"
04-08-2020,24 m²,6 m,4 m,"93,75 triệu/m²"
04-08-2020,41 m²,10 m,4.1 m,"51,22 triệu/m²"
04-08-2020,36 m²,10 m,3.6 m,"152,78 triệu/m²"
04-08-2020,36 m²,9 m,4 m,"52,78 triệu/m²"
04-08-2020,48 m²,12 m,4 m,"56,25 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"53,13 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"48,44 triệu/m²"
04-08-2020,33 m²,9 m,4 m,"46,61 triệu/m²"
04-08-2020,185 m²,13 m,13 m,200 triệu/m²
04-08-2020,77 m²,11 m,7 m,"97,4 triệu/m²"
04-08-2020,55 m²,10 m,6 m,"39,09 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,68 triệu/m²
04-08-2020,55 m²,10 m,6 m,160 triệu/m²
04-08-2020,35 m²,7 m,5 m,"85,71 triệu/m²"
04-08-2020,30 m²,8 m,4 m,40 triệu/m²
04-08-2020,30 m²,8 m,4 m,"40,27 triệu/m²"
04-08-2020,140 m²,21 m,6.8 m,178.571 đ/m²
04-08-2020,42 m²,10 m,42 m,50 triệu/m²
04-08-2020,165 m²,22.6 m,7.3 m,"49,09 triệu/m²"
04-08-2020,31 m²,8 m,4 m,"69,35 triệu/m²"
04-08-2020,56 m²,10 m,6 m,"160,71 triệu/m²"
04-08-2020,31 m²,7.5 m,4 m,"66,13 triệu/m²"
04-08-2020,63 m²,10 m,6.3 m,"87,3 triệu/m²"
04-08-2020,50 m²,15 m,4 m,210 triệu/m²
04-08-2020,33 m²,10 m,33 m,"47,88 triệu/m²"
04-08-2020,80 m²,16 m,5 m,"161,13 triệu/m²"
04-08-2020,38 m²,10 m,4 m,"113,16 triệu/m²"
04-08-2020,62 m²,16 m,5 m,"207,9 triệu/m²"
04-08-2020,62 m²,5 m,6 m,"80,65 triệu/m²"
04-08-2020,40 m²,8 m,5 m,"102,5 triệu/m²"
04-08-2020,57 m²,8.14 m,7 m,"63,16 triệu/m²"
04-08-2020,35 m²,6 m,6 m,"111,43 triệu/m²"
04-08-2020,25 m²,4 m,5 m,80 triệu/m²
04-08-2020,56 m²,14 m,4 m,"58,93 triệu/m²"
04-08-2020,30 m²,5.6 m,5.5 m,"77,33 triệu/m²"
04-08-2020,44 m²,9.5 m,4.6 m,"79,55 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"79,69 triệu/m²"
04-08-2020,34 m²,8 m,4 m,"111,76 triệu/m²"
04-08-2020,49 m²,12.25 m,4 m,"75,51 triệu/m²"
04-08-2020,45 m²,10 m,4.5 m,"103,33 triệu/m²"
04-08-2020,40 m²,10 m,4 m,70 triệu/m²
04-08-2020,63 m²,21 m,3 m,"111,11 triệu/m²"
04-08-2020,32 m²,5 m,6 m,"85,94 triệu/m²"
04-08-2020,67 m²,15 m,45 m,"111,94 triệu/m²"
04-08-2020,50 m²,11 m,4.6 m,78 triệu/m²
04-08-2020,110 m²,15.7 m,7 m,"31,82 triệu/m²"
04-08-2020,41 m²,10 m,4.1 m,"112,2 triệu/m²"
04-08-2020,35 m²,9 m,4 m,"95,71 triệu/m²"
04-08-2020,34 m²,9 m,4 m,"97,06 triệu/m²"
04-08-2020,80 m²,18 m,4.5 m,175 triệu/m²
04-08-2020,43 m²,12 m,4 m,"60,47 triệu/m²"
04-08-2020,47 m²,11 m,4.2 m,"63,83 triệu/m²"
04-08-2020,44 m²,7 m,7 m,"161,36 triệu/m²"
04-08-2020,44 m²,9 m,5 m,"164,77 triệu/m²"
04-08-2020,36 m²,9 m,4 m,"88,89 triệu/m²"
04-08-2020,76 m²,16.55 m,4.6 m,"117,11 triệu/m²"
04-08-2020,65 m²,13 m,5 m,102 triệu/m²
04-08-2020,33 m²,8 m,4 m,"65,15 triệu/m²"
04-08-2020,22 m²,4.2 m,5 m,"113,64 triệu/m²"
04-08-2020,65 m²,14 m,5 m,"115,38 triệu/m²"
04-08-2020,45 m²,1430 m,3500 m,"173,33 triệu/m²"
04-08-2020,31 m²,7 m,4.6 m,"66,13 triệu/m²"
04-08-2020,43 m²,11 m,4 m,"97,67 triệu/m²"
04-08-2020,58 m²,9 m,6.5 m,"43,97 triệu/m²"
04-08-2020,90 m²,30 m,3 m,"84,44 triệu/m²"
04-08-2020,86 m²,15 m,6 m,"37,79 triệu/m²"
04-08-2020,35 m²,9 m,3.46 m,"65,14 triệu/m²"
04-08-2020,42 m²,7 m,6 m,"366,67 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,"45,71 triệu/m²"
04-08-2020,30 m²,9 m,3 m,75 triệu/m²
04-08-2020,31 m²,8 m,4 m,"108,06 triệu/m²"
04-08-2020,50 m²,10 m,5 m,240 triệu/m²
04-08-2020,56 m²,11 m,5.3 m,"77,68 triệu/m²"
04-08-2020,60 m²,15 m,4 m,75 triệu/m²
04-08-2020,42 m²,10 m,4 m,"142,86 triệu/m²"
04-08-2020,25 m²,5 m,5 m,180 triệu/m²
04-08-2020,35 m²,10 m,3 m,60 triệu/m²
04-08-2020,30 m²,6 m,5 m,"71,67 triệu/m²"
04-08-2020,55 m²,13 m,4 m,"72,73 triệu/m²"
04-08-2020,35 m²,7 m,5 m,"88,57 triệu/m²"
04-08-2020,35 m²,8 m,3.7 m,"62,86 triệu/m²"
04-08-2020,38 m²,10 m,3.6 m,"92,11 triệu/m²"
04-08-2020,60 m²,12 m,5 m,"166,67 triệu/m²"
04-08-2020,40 m²,8 m,5 m,"112,5 triệu/m²"
04-08-2020,50 m²,18 m,3.5 m,64 triệu/m²
04-08-2020,35 m²,9 m,4 m,140 triệu/m²
04-08-2020,34 m²,10.6 m,3.2 m,"94,12 triệu/m²"
04-08-2020,25 m²,8 m,3.2 m,118 triệu/m²
04-08-2020,45 m²,9 m,5 m,"103,33 triệu/m²"
04-08-2020,41 m²,11 m,4.5 m,"96,34 triệu/m²"
04-08-2020,50 m²,10 m,5 m,60 triệu/m²
04-08-2020,108 m²,18 m,6 m,"83,33 triệu/m²"
04-08-2020,26 m²,8.96 m,2.9 m,"113,46 triệu/m²"
04-08-2020,41 m²,6 m,3 m,"60,98 triệu/m²"
04-08-2020,20 m²,5 m,4 m,550 triệu/m²
04-08-2020,30 m²,9 m,35 m,53 triệu/m²
04-08-2020,32 m²,6 m,5.3 m,100 triệu/m²
04-08-2020,35 m²,8 m,4 m,"88,57 triệu/m²"
04-08-2020,45 m²,7 m,6.2 m,"122,22 triệu/m²"
04-08-2020,47 m²,10 m,4.5 m,"78,72 triệu/m²"
04-08-2020,38 m²,9 m,4 m,"107,89 triệu/m²"
04-08-2020,52 m²,10 m,5 m,"103,85 triệu/m²"
04-08-2020,21 m²,6 m,3.5 m,"78,57 triệu/m²"
04-08-2020,52 m²,10.5 m,5 m,"54,81 triệu/m²"
04-08-2020,30 m²,5 m,6 m,"91,67 triệu/m²"
04-08-2020,36 m²,10 m,3.6 m,"40,28 triệu/m²"
04-08-2020,25 m²,5 m,5 m,"79,2 triệu/m²"
04-08-2020,41 m²,11 m,3.9 m,"43,9 triệu/m²"
04-08-2020,40 m²,10 m,4 m,80 triệu/m²
04-08-2020,35 m²,8.3 m,4 m,"74,29 triệu/m²"
04-08-2020,66 m²,11 m,6 m,"75,76 triệu/m²"
04-08-2020,31 m²,6.2 m,5 m,"83,87 triệu/m²"
04-08-2020,36 m²,8 m,4.2 m,"161,11 triệu/m²"
04-08-2020,31 m²,9 m,3.5 m,"74,19 triệu/m²"
04-08-2020,37 m²,10 m,4 m,"45,68 triệu/m²"
04-08-2020,76 m²,19 m,4 m,"101,97 triệu/m²"
04-08-2020,39 m²,10 m,3.9 m,"42,31 triệu/m²"
04-08-2020,40 m²,10 m,4 m,"87,5 triệu/m²"
04-08-2020,40 m²,10 m,5 m,"62,5 triệu/m²"
04-08-2020,39.8 m²,6.7 m,6 m,"41,54 triệu/m²"
04-08-2020,37 m²,10.2 m,3.6 m,"37,84 triệu/m²"
04-08-2020,38 m²,10 m,3.8 m,"94,74 triệu/m²"
04-08-2020,35 m²,9 m,4.5 m,"75,71 triệu/m²"
04-08-2020,45 m²,5.5 m,8 m,"61,11 triệu/m²"
04-08-2020,30 m²,10 m,3.5 m,110 triệu/m²
04-08-2020,31 m²,7.8 m,4 m,"79,03 triệu/m²"
04-08-2020,31 m²,10 m,3.06 m,"138,71 triệu/m²"
04-08-2020,32 m²,8 m,5 m,"45,31 triệu/m²"
04-08-2020,50 m²,10.4 m,4.8 m,218 triệu/m²
04-08-2020,50 m²,14 m,3.6 m,51 triệu/m²
04-08-2020,60 m²,12 m,5 m,"83,33 triệu/m²"
04-08-2020,36.5 m²,10 m,3.65 m,"95,92 triệu/m²"
04-08-2020,36 m²,9 m,4 m,"52,78 triệu/m²"
04-08-2020,42 m²,14 m,3 m,"76,19 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"53,13 triệu/m²"
04-08-2020,34 m²,10 m,3.4 m,"79,41 triệu/m²"
04-08-2020,37 m²,10 m,3.7 m,"45,68 triệu/m²"
04-08-2020,30 m²,8 m,4 m,100 triệu/m²
04-08-2020,59 m²,17 m,3.5 m,"74,58 triệu/m²"
04-08-2020,45 m²,10 m,4.5 m,"118,89 triệu/m²"
04-08-2020,35 m²,12 m,3 m,"71,43 triệu/m²"
04-08-2020,30 m²,9 m,3.5 m,"78,33 triệu/m²"
04-08-2020,86 m²,15 m,5.7 m,"441,86 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"56,25 triệu/m²"
04-08-2020,38 m²,12 m,3.5 m,"197,37 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"56,25 triệu/m²"
04-08-2020,43 m²,9 m,5 m,"88,37 triệu/m²"
04-08-2020,36 m²,7 m,5 m,"76,39 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,"105,71 triệu/m²"
04-08-2020,35.5 m²,10 m,3.55 m,"98,69 triệu/m²"
04-08-2020,63 m²,13 m,4.5 m,"171,43 triệu/m²"
04-08-2020,48 m²,11 m,4.5 m,"110,42 triệu/m²"
04-08-2020,45 m²,8 m,5 m,"148,89 triệu/m²"
04-08-2020,34 m²,9.7 m,3.5 m,"43,24 triệu/m²"
04-08-2020,54 m²,13 m,4 m,"81,48 triệu/m²"
04-08-2020,31 m²,9 m,3 m,"63,87 triệu/m²"
04-08-2020,45 m²,11.25 m,4 m,"82,22 triệu/m²"
04-08-2020,34 m²,8 m,4.3 m,"76,47 triệu/m²"
04-08-2020,40 m²,10 m,4 m,70 triệu/m²
04-08-2020,42 m²,10 m,4 m,"123,81 triệu/m²"
04-08-2020,33 m²,8 m,4 m,"84,85 triệu/m²"
04-08-2020,47 m²,9.4 m,5 m,"63,83 triệu/m²"
04-08-2020,70 m²,15 m,4.5 m,"221,43 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,"46,29 triệu/m²"
04-08-2020,36 m²,10 m,3.6 m,"83,33 triệu/m²"
04-08-2020,11 m²,2.7 m,4 m,"122,73 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"44,38 triệu/m²"
04-08-2020,39 m²,9 m,4.5 m,"111,54 triệu/m²"
04-08-2020,32 m²,8 m,4 m,50 triệu/m²
04-08-2020,60 m²,14 m,4.5 m,"208,33 triệu/m²"
04-08-2020,38 m²,11 m,3.5 m,"94,74 triệu/m²"
04-08-2020,35 m²,5 m,7 m,"77,14 triệu/m²"
04-08-2020,35 m²,8.5 m,4.1 m,"97,14 triệu/m²"
04-08-2020,64 m²,13 m,5 m,"78,13 triệu/m²"
04-08-2020,34 m²,8 m,4 m,"92,65 triệu/m²"
04-08-2020,50 m²,8.5 m,6 m,"3,74 triệu/m²"
04-08-2020,34 m²,10 m,35 m,"72,06 triệu/m²"
04-08-2020,30 m²,9 m,3.6 m,80 triệu/m²
04-08-2020,43 m²,11.25 m,4 m,"227,91 triệu/m²"
04-08-2020,47 m²,9 m,5 m,"117,02 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"53,13 triệu/m²"
04-08-2020,18 m²,6 m,3 m,"69,44 triệu/m²"
04-08-2020,53 m²,12 m,4 m,"98,11 triệu/m²"
04-08-2020,35 m²,9 m,4 m,"65,71 triệu/m²"
04-08-2020,41 m²,10 m,4.1 m,"65,85 triệu/m²"
04-08-2020,40 m²,10 m,4 m,70 triệu/m²
04-08-2020,30 m²,8 m,4 m,"40,33 triệu/m²"
04-08-2020,45 m²,10.1 m,4 m,"157,78 triệu/m²"
04-08-2020,40 m²,11 m,4 m,75 triệu/m²
04-08-2020,50 m²,10 m,5 m,93 triệu/m²
04-08-2020,30 m²,10 m,3.5 m,110 triệu/m²
04-08-2020,57 m²,15 m,4 m,"77,19 triệu/m²"
04-08-2020,60 m²,10 m,6 m,"55,83 triệu/m²"
04-08-2020,36 m²,10 m,3.6 m,"44,44 triệu/m²"
04-08-2020,52 m²,13 m,4 m,"70,19 triệu/m²"
04-08-2020,30 m²,6 m,5 m,"50,33 triệu/m²"
04-08-2020,43 m²,12 m,37 m,"132,56 triệu/m²"
04-08-2020,33 m²,8 m,4 m,"181,82 triệu/m²"
04-08-2020,39 m²,10 m,3.9 m,"43,59 triệu/m²"
04-08-2020,50 m²,10 m,5 m,190 triệu/m²
04-08-2020,76 m²,12 m,7 m,"126,32 triệu/m²"
04-08-2020,30 m²,12 m,41 m,"196,67 triệu/m²"
04-08-2020,50 m²,13 m,4 m,60 triệu/m²
04-08-2020,37 m²,13 m,3 m,"53,19 triệu/m²"
04-08-2020,46 m²,8 m,6 m,"97,83 triệu/m²"
04-08-2020,32 m²,9 m,4 m,"90,63 triệu/m²"
04-08-2020,50 m²,13 m,4 m,104 triệu/m²
04-08-2020,62 m²,10 m,6.2 m,"83,87 triệu/m²"
04-08-2020,48 m²,8 m,6 m,"93,75 triệu/m²"
04-08-2020,45 m²,11 m,4 m,"184,44 triệu/m²"
04-08-2020,36 m²,9 m,4.1 m,"91,67 triệu/m²"
04-08-2020,50.1 m²,12.5 m,4 m,30 triệu/m²
04-08-2020,35 m²,5 m,7 m,"74,29 triệu/m²"
04-08-2020,28 m²,7.8 m,3.6 m,100 triệu/m²
04-08-2020,85 m²,20 m,4.2 m,"44,71 triệu/m²"
04-08-2020,31 m²,7 m,4.6 m,"66,13 triệu/m²"
04-08-2020,42 m²,7 m,6 m,"92,86 triệu/m²"
04-08-2020,90 m²,18 m,5 m,"138,89 triệu/m²"
04-08-2020,39 m²,35 m,4 m,"120,51 triệu/m²"
04-08-2020,34 m²,10 m,3.4 m,"70,59 triệu/m²"
04-08-2020,40 m²,10 m,4 m,"167,5 triệu/m²"
04-08-2020,30 m²,8 m,3.5 m,"96,67 triệu/m²"
04-08-2020,45 m²,9 m,5 m,"84,44 triệu/m²"
04-08-2020,75 m²,12 m,6.3 m,"77,33 triệu/m²"
04-08-2020,40 m²,12 m,3.6 m,"40,5 triệu/m²"
04-08-2020,30 m²,12 m,3.5 m,"158,33 triệu/m²"
04-08-2020,35 m²,9.8 m,3.6 m,"104,29 triệu/m²"
04-08-2020,31 m²,10 m,3 m,"75,81 triệu/m²"
04-08-2020,35 m²,5.8 m,6 m,"162,86 triệu/m²"
04-08-2020,168 m²,20 m,9 m,"15,48 triệu/m²"
04-08-2020,39 m²,14 m,3.2 m,"330,77 triệu/m²"
04-08-2020,39 m²,11 m,348 m,"73,08 triệu/m²"
04-08-2020,130 m²,22 m,6 m,"121,54 triệu/m²"
04-08-2020,60 m²,15 m,4 m,165 triệu/m²
04-08-2020,37 m²,10 m,3.7 m,"93,27 triệu/m²"
04-08-2020,49 m²,8 m,6.5 m,"104,08 triệu/m²"
04-08-2020,30 m²,6 m,5 m,"50,27 triệu/m²"
04-08-2020,34.1 m²,7.81 m,4.29 m,"37,35 triệu/m²"
04-08-2020,49 m²,8 m,6.5 m,"104,08 triệu/m²"
04-08-2020,72 m²,14 m,5 m,"123,61 triệu/m²"
04-08-2020,35 m²,12 m,3 m,"56,23 triệu/m²"
04-08-2020,61 m²,10 m,5.94 m,"34,43 triệu/m²"
04-08-2020,41 m²,8.2 m,5 m,"93,9 triệu/m²"
04-08-2020,47 m²,10 m,5 m,"70,92 triệu/m²"
04-08-2020,30 m²,30 m,30 m,"111,67 triệu/m²"
04-08-2020,46 m²,9 m,5.1 m,"43,48 triệu/m²"
04-08-2020,42 m²,14 m,4 m,"63,1 triệu/m²"
04-08-2020,34 m²,10 m,3.4 m,"79,41 triệu/m²"
04-08-2020,65 m²,12 m,5.5 m,"161,54 triệu/m²"
04-08-2020,43 m²,11 m,4 m,"101,16 triệu/m²"
04-08-2020,65 m²,12 m,5.5 m,"16,15 triệu/m²"
04-08-2020,38 m²,12.3 m,3.1 m,"77,89 triệu/m²"
04-08-2020,30 m²,7 m,4 m,50 triệu/m²
04-08-2020,32 m²,7 m,5 m,"46,5 triệu/m²"
04-08-2020,61 m²,13 m,4.6 m,"431,15 triệu/m²"
04-08-2020,85 m²,17 m,5 m,"68,82 triệu/m²"
04-08-2020,73 m²,14 m,5.4 m,"58,9 triệu/m²"
04-08-2020,40 m²,10 m,4 m,180 triệu/m²
04-08-2020,40 m²,9.7 m,4.12 m,"66,25 triệu/m²"
04-08-2020,60 m²,12 m,5.5 m,"17,5 triệu/m²"
04-08-2020,38 m²,9.5 m,4.2 m,"89,47 triệu/m²"
04-08-2020,100 m²,10 m,10 m,120 triệu/m²
04-08-2020,65 m²,12 m,5.5 m,"16,15 triệu/m²"
04-08-2020,39 m²,10 m,3.9 m,"92,31 triệu/m²"
04-08-2020,31 m²,8 m,4 m,"129,03 triệu/m²"
04-08-2020,45 m²,11 m,4 m,"111,11 triệu/m²"
04-08-2020,150 m²,13 m,12 m,166 triệu/m²
04-08-2020,35 m²,7 m,5.5 m,"111,43 triệu/m²"
04-08-2020,40 m²,6.7 m,6 m,"40,5 triệu/m²"
04-08-2020,44 m²,11 m,4 m,"67,05 triệu/m²"
04-08-2020,37 m²,10 m,3.7 m,"37,84 triệu/m²"
04-08-2020,30 m²,7.4 m,4.1 m,"103,33 triệu/m²"
04-08-2020,52 m²,11.5 m,4.5 m,"90,38 triệu/m²"
04-08-2020,33 m²,8 m,3.7 m,"112,12 triệu/m²"
04-08-2020,46 m²,9 m,5 m,"108,7 triệu/m²"
04-08-2020,35 m²,10 m,3.5 m,100 triệu/m²
04-08-2020,35 m²,9 m,4 m,"82,86 triệu/m²"
04-08-2020,60 m²,10 m,6 m,80 triệu/m²
04-08-2020,37 m²,11 m,3.5 m,"75,68 triệu/m²"
04-08-2020,35 m²,12 m,3.5 m,"168,57 triệu/m²"
04-08-2020,60 m²,4.5 m,4.5 m,"141,67 triệu/m²"
04-08-2020,70 m²,14 m,5 m,"107,14 triệu/m²"
04-08-2020,23 m²,8 m,4.6 m,"108,7 triệu/m²"
04-08-2020,46 m²,10 m,4.5 m,"97,83 triệu/m²"
04-08-2020,36 m²,10 m,3.6 m,"95,28 triệu/m²"
04-08-2020,50 m²,10 m,5.2 m,37 triệu/m²
04-08-2020,34 m²,10 m,3.5 m,"58,24 triệu/m²"
04-08-2020,38 m²,9 m,4 m,"73,68 triệu/m²"
04-08-2020,33 m²,13 m,35 m,"107,58 triệu/m²"
04-08-2020,35 m²,6 m,6 m,"81,43 triệu/m²"
04-08-2020,38 m²,8.8 m,4.3 m,"136,84 triệu/m²"
04-08-2020,68 m²,14 m,5 m,"63,97 triệu/m²"
04-08-2020,30 m²,5 m,5.8 m,95 triệu/m²
04-08-2020,36 m²,8 m,5 m,"169,44 triệu/m²"
04-08-2020,65 m²,10 m,6.5 m,"198,43 triệu/m²"
04-08-2020,60 m²,3.8 m,3.6 m,"78,33 triệu/m²"
04-08-2020,78 m²,10 m,8 m,150 triệu/m²
04-08-2020,58 m²,10 m,6 m,"55,17 triệu/m²"
04-08-2020,51 m²,10.2 m,5 m,"176,47 triệu/m²"
04-08-2020,47 m²,14 m,3.3 m,"65,96 triệu/m²"
04-08-2020,45 m²,4 m,4 m,"75,56 triệu/m²"
04-08-2020,40 m²,11 m,3.95 m,"96,25 triệu/m²"
04-08-2020,40 m²,10 m,4 m,"92,75 triệu/m²"
04-08-2020,44 m²,9 m,5 m,"162,5 triệu/m²"
04-08-2020,32 m²,8 m,4 m,"41,56 triệu/m²"
04-08-2020,57 m²,13 m,4 m,"114,04 triệu/m²"
04-08-2020,51 m²,12 m,4 m,"70,59 triệu/m²"
04-08-2020,38 m²,11 m,3.4 m,"71,05 triệu/m²"
04-08-2020,35 m²,7 m,4.8 m,"77,14 triệu/m²"
04-08-2020,52 m²,13 m,3.6 m,"75,96 triệu/m²"
04-08-2020,76 m²,10 m,7.6 m,"124,82 triệu/m²"
04-08-2020,46 m²,9.1 m,5.1 m,"33,26 triệu/m²"
04-08-2020,52 m²,9 m,6 m,"165,38 triệu/m²"
04-08-2020,51 m²,13 m,45 m,"43,14 triệu/m²"
04-08-2020,60 m²,16 m,45 m,70 triệu/m²
04-08-2020,38 m²,10 m,3.4 m,"76,32 triệu/m²"
04-08-2020,26 m²,9 m,3.6 m,"92,31 triệu/m²"
04-08-2020,25 m²,6 m,5 m,98 triệu/m²
04-08-2020,30 m²,30 m,30 m,90 triệu/m²
04-08-2020,20 m²,5 m,4 m,70 triệu/m²
04-08-2020,34 m²,9 m,4 m,"73,53 triệu/m²"
04-08-2020,50 m²,11 m,45 m,136 triệu/m²
04-08-2020,55 m²,11 m,5 m,"192,73 triệu/m²"
04-08-2020,33 m²,8 m,4 m,"72,73 triệu/m²"
04-08-2020,40 m²,35 m,6 m,"68,75 triệu/m²"
04-08-2020,104 m²,12 m,9 m,"68,27 triệu/m²"
04-08-2020,40 m²,10 m,4 m,"91,25 triệu/m²"
04-08-2020,55 m²,12 m,45 m,"136,36 triệu/m²"
04-08-2020,45 m²,9 m,5 m,"133,33 triệu/m²"
